rating,artist,song
7,The Beatles,Across The Universe
7,The Beatles,Across The Universe
7,The Black Keys,Sister
7,The Black Keys,Too Afraid to Love You
7,The Boxer Rebellion,The Runner
7,The Byrds,My Back Pages
7,The Charlatans,Blackened Blue Eyes
7,The Cure,Pictures of You
7,The Cure,Boys Don't Cry
7,The Dandy Warhols,Godless
7,The Decemberists,This Is Why We Fight
7,The Decemberists,Rox In The Box
7,The Decemberists,Summersong
7,The Head and the Heart,Another Story
7,The Head and the Heart,Shake
7,The Jayhawks,I'd Run Away
7,The Levellers,Four Winds
7,The Mamas & The Papas,Dream A Little Dream Of Me
7,The National,Humiliation
7,The National,Fake Empire
7,The Orb,Toxygene
7,The Police,Roxanne
7,The Rolling Stones,Winter
7,The Rolling Stones,She's A Rainbow
7,The Rolling Stones,Jumpin' Jack Flash
7,The Rolling Stones,Let It Bleed
7,The Rolling Stones,Time Waits For No One
7,The Rolling Stones,Paint It Black
7,The Shins,Sea Legs
7,The Smashing Pumpkins,Violet Rays
7,The Smashing Pumpkins,1979
7,The Smiths,How Soon Is Now
7,The Stone Roses,Breaking Into Heaven
7,The Stone Roses,Love Spreads
7,The Verve,Bitter Sweet Symphony
7,The Waifs,Beautiful You
7,The Wallflowers,One Set Of Wings
7,The Wallflowers,Three Marlenas
7,The War on Drugs,Lost In The Dream
7,The Who,The Song Is Over
7,The Who,Quadrophenia
7,The XX,Angels
7,Thievery Corporation,Lebanese Blonde
7,Tim Buckley,Buzzin Fly
7,Tom Petty,It's Good To Be King
7,Tom Petty & The Heartbreakers,Something Good Coming
7,Tom Petty & The Heartbreakers,Tweeter and the Monkey Man (live)
7,Tom Petty & The Heartbreakers,Full Grown Boy
7,Toumani Diabate,Cantelowes
7,Townes Van Zandt,Lungs
7,Tracy Chapman,Three Little Birds (Live)
7,Traffic,Low Spark of High-Heeled Boys
7,Train,Mississippi
7,Traveling Wilburys,Tweeter And The Monkey Man
7,Triggerfinger,I Follow Rivers
7,Triggerfinger,Love Lost In Love
7,Tycho,Daydream
7,Tycho,A Walk
7,U2,Pride (In the Name of Love)
7,U2,One Tree Hill
7,U2,Sunday Bloody Sunday
7,Ultravox,Vienna
7,"Ungar, Mason & friends",Ashokan Farewell
7,Unkle,The Answer
7,Vienna Teng,Close to Home
7,Warren Zevon,Poor Poor Pitiful Me
7,Widespread Panic,Fishing
7,Wilco,How to Fight Loneliness
7,Wilco,"Jesus, Etc."
7,Wishbone Ash,Blowin' Free
7,Xavier Rudd,Follow The Sun
7,Yes,Long Distance Runaround & The Fish
